essayID,score
1623,4.142138959416666
1143,3.3603924112471604
660,3.6085877529305495
1596,3.7619158186251087
846,3.898121002723346
868,3.5952814421733694
145,2.9593678783464226
500,3.435201797173217
652,3.252677678618741
214,2.559683163109229
1229,3.2342309584821427
1588,3.6510123218646773
1435,4.023248228425933
115,3.2092705182521617
309,3.662222447361979
70,3.764542769401811
1068,4.148016099139755
42,4.059837358550021
47,3.3831033575815534
100,3.333726718343966
165,3.2882930819216414
479,3.3742462267037827
977,3.685755410710128
1292,3.9792913996624812
764,4.068399757971195
31,3.5451930468072654
25,3.4296312624076606
1438,3.6823734425953134
1216,4.052421812163619
712,2.788985073929102
368,2.5778153023229433
1180,3.8931223370161296
1514,3.22916009289036
1172,3.0986358410186785
1139,4.003703735104606
835,3.1753760372098103
790,4.824642193029924
893,4.270200436254079
579,3.492003405876273
1517,3.403305690383518
1749,2.9844253146365163
402,3.4563868648215488
1570,2.9841144643498962
1049,3.038918032462548
925,2.172796800980386
1140,3.2312578134895076
138,2.9726635532803782
671,3.5545919388795872
541,3.750603424623168
889,3.191571374805492
845,2.6951700257767426
1217,3.9738812099198704
1148,4.076765858672443
197,3.8933716693178835
1087,2.777873556843453
612,3.7946608176241625
757,3.627610599650854
1508,3.721909982988427
720,3.978507164512414
1685,4.197700169895981
665,2.5609197728433863
738,3.435352636191882
994,3.0556989593902624
1235,3.562108685745857
576,3.1443954495969564
373,3.324283981398458
851,3.811594893552247
1323,3.7691379378805236
1648,3.3737184201382946
810,3.846939007195621
569,3.232117125922315
89,3.645822779540608
1552,3.317861828724906
352,3.232277342809269
472,3.2522015163351328
1647,3.173192988656642
740,3.1198689198078426
844,3.421516339637088
1116,4.3174106849593175
921,3.870636162844391
330,3.742352261725755
658,3.6009913813755965
185,3.5606087213592654
1313,3.0987576199042275
849,3.965669849236529
18,2.3275063409091143
662,4.142147879334907
331,3.724136747594181
279,1.7583803893878005
124,3.2025247303491087
182,3.3775153844700516
811,3.1137009643342224
396,3.8729199654466964
708,2.876906592044924
523,3.845038543804448
36,3.6077421689645375
956,3.7752738810466706
785,3.858970494830724
528,3.5212461423440518
311,2.9143093423977717
876,3.5116177148381196
1198,4.680504233542951
721,2.3446551261713102
1400,3.4980515253767575
72,3.1278333846680013
486,4.128013064986997
1056,2.974142693886281
906,2.7823082405791606
1048,4.553271537666993
152,3.708347486145122
228,3.8001559268269256
1371,3.478039330854315
37,3.723970747564017
1754,3.8870504861911632
1769,3.8851812896512614
186,2.8569494828937168
1332,2.8308504756919204
928,4.273815171580857
1446,2.372471569647937
532,3.092764665265641
980,3.644607198689045
91,3.866286727979543
1224,4.324235801654336
506,2.854304822990529
1357,2.649761852022174
1374,4.1106840160024065
1078,3.042592458296884
983,4.462909742147595
759,3.5918026690704314
1650,2.5741295540311624
635,3.8298297517826745
816,4.04563306830039
1488,2.46340470852774
1600,3.2803377917858185
1268,4.013523970228411
1285,3.5451551825961967
1424,3.176008867199852
156,3.6612055285991394
1582,1.9202644533846562
886,3.6051097024377827
1105,3.7084119816242858
258,4.133140843057982
1748,3.8762739267406956
1007,3.033782472395704
1617,2.690530630297469
916,4.014963384911248
1271,3.6515533996992833
1124,3.2105173379445695
631,4.049621287714419
345,4.04171488905371
617,4.144502920179822
245,3.565364422420705
1767,3.503329271415412
584,3.2674717669495292
1525,4.259445518379243
972,3.1741732409830297
457,3.0346788587798623
1561,3.3125442691726517
475,3.4665971952079437
1367,3.417068514499739
420,3.805169635691645
1069,3.154755579985097
1739,2.4980416022109027
376,2.617654870718619
975,3.9328849546288667
531,4.1330906458520085
1658,3.0079039230390037
367,2.7793413959272484
678,1.8969009586860948
1242,3.5641731966629107
262,2.781103533808057
670,4.286389885422301
1064,3.608674113212382
1350,3.4186540732875357
198,3.8631679203066938
137,3.572200158769943
866,3.9586681469498313
1300,3.3387886533110196
774,3.164362800551579
1159,4.433956897721671
1125,3.8021839774661017
1361,2.4020388875490846
507,4.03700856909202
762,4.010718294709701
277,3.788010516419829
389,4.439449251389813
1346,2.7712705824088544
874,3.3653686750898792
48,3.008749087082888
1675,3.2571864343154484
647,3.0207687846362
1720,4.17317778764629
1590,3.3765866130945157
1152,4.010215054702295
1226,2.8186190384866494
862,4.452356789450577
1562,4.244120018758685
1336,2.83902471996231
1171,3.4156712760059285
