essayID,score
1623,4
1143,3
660,3
1596,4
846,4
868,4
145,3
500,3
652,3
214,3
1229,3
1588,3
1435,4
115,3
309,3
70,4
1068,4
42,4
47,3
100,4
165,3
479,3
977,4
1292,4
764,4
31,3
25,4
1438,4
1216,4
712,3
368,3
1180,4
1514,3
1172,3
1139,4
835,3
790,4
893,4
579,3
1517,3
1749,3
402,3
1570,3
1049,3
925,2
1140,3
138,3
671,4
541,4
889,3
845,3
1217,4
1148,4
197,4
1087,3
612,4
757,3
1508,3
720,4
1685,4
665,3
738,3
994,3
1235,4
576,3
373,3
851,4
1323,4
1648,3
810,4
569,3
89,3
1552,3
352,3
472,3
1647,3
740,3
844,3
1116,4
921,4
330,3
658,3
185,4
1313,3
849,4
18,3
662,4
331,4
279,2
124,3
182,3
811,3
396,3
708,3
523,4
36,3
956,4
785,4
528,3
311,3
876,3
1198,5
721,3
1400,3
72,3
486,4
1056,3
906,3
1048,5
152,4
228,5
1371,3
37,4
1754,4
1769,4
186,3
1332,3
928,5
1446,2
532,3
980,4
91,4
1224,4
506,3
1357,3
1374,4
1078,3
983,5
759,3
1650,3
635,4
816,4
1488,3
1600,3
1268,4
1285,3
1424,3
156,4
1582,2
886,3
1105,4
258,4
1748,4
1007,3
1617,3
916,4
1271,4
1124,3
631,4
345,4
617,4
245,3
1767,3
584,3
1525,4
972,3
457,3
1561,3
475,3
1367,4
420,4
1069,3
1739,2
376,3
975,4
531,5
1658,3
367,3
678,2
1242,4
262,3
670,4
1064,3
1350,3
198,4
137,3
866,4
1300,3
774,3
1159,5
1125,4
1361,3
507,4
762,4
277,4
389,4
1346,3
874,3
48,3
1675,3
647,3
1720,5
1590,3
1152,4
1226,3
862,4
1562,4
1336,3
1171,3
